city_name,city_url
https://www.iranhotelonline.com/qazvin-hotels/,قزوین
https://www.iranhotelonline.com/qeshm-hotels/,قشم
https://www.iranhotelonline.com/qaleh-ganj-hotels/,قلعه گنج
https://www.iranhotelonline.com/qom-hotels/,قم
https://www.iranhotelonline.com/qamsar-hotels/,قمصر
https://www.iranhotelonline.com/quchan-hotels/,قوچان
https://www.iranhotelonline.com/galikesh-hotels/,گالیکش
https://www.iranhotelonline.com/gorgan-hotels/,گرگان
https://www.iranhotelonline.com/garmsar-hotels/,گرمسار
https://www.iranhotelonline.com/golpayegan-hotels/,گلپایگان
https://www.iranhotelonline.com/gonabad-hotels/,گناباد
https://www.iranhotelonline.com/ganaveh-hotels/,گناوه
https://www.iranhotelonline.com/gonbad-e-kavus-hotels/,گنبدکاووس
https://www.iranhotelonline.com/lar-hotels/,لار
https://www.iranhotelonline.com/larijan-hotels/,لاریجان
https://www.iranhotelonline.com/lalejin-hotels/,لالجین
https://www.iranhotelonline.com/lamerd-hotels/,لامرد
https://www.iranhotelonline.com/lahijan-hotels/,لاهیجان
https://www.iranhotelonline.com/lordgan-hotels/,لردگان
https://www.iranhotelonline.com/langarud-hotels/,لنگرود
https://www.iranhotelonline.com/masal-hotels/,ماسال
https://www.iranhotelonline.com/masuleh-hotels/,ماسوله
https://www.iranhotelonline.com/mahan-hotels/,ماهان
https://www.iranhotelonline.com/bandar-e-mahshahr-hotels/,ماهشهر
https://www.iranhotelonline.com/maku-hotels/,ماکو
https://www.iranhotelonline.com/mahalat-hotels/,محلات
https://www.iranhotelonline.com/mahmudabad-hotels/,محمود آباد
https://www.iranhotelonline.com/maragheh-hotels/,مراغه
https://www.iranhotelonline.com/marand-hotels/,مرند
https://www.iranhotelonline.com/marvdasht-hotels/,مرودشت
https://www.iranhotelonline.com/marivan-hotels/,مریوان
https://www.iranhotelonline.com/meshginshahr-hotels/,مشگین شهر
https://www.iranhotelonline.com/malayer-hotels/,ملایر
https://www.iranhotelonline.com/mahabad-hotels/,مهاباد
https://www.iranhotelonline.com/mehdishahr-hotels/,مهدیشهر
https://www.iranhotelonline.com/mehriz-hotels/,مهریز
https://www.iranhotelonline.com/miandoab-hotels/,میاندوآب
https://www.iranhotelonline.com/mianeh-hotels/,میانه
https://www.iranhotelonline.com/meybod-hotels/,میبد
https://www.iranhotelonline.com/minab-hotels/,میناب
https://www.iranhotelonline.com/minudasht-hotels/,مینودشت
https://www.iranhotelonline.com/nain-hotels/,نائین
https://www.iranhotelonline.com/nashtarud-hotels/,نشتارود
https://www.iranhotelonline.com/natanz-hotels/,نطنز
https://www.iranhotelonline.com/naqadeh-hotels/,نقده
https://www.iranhotelonline.com/nehbandan-hotels/,نهبندان
https://www.iranhotelonline.com/noor-hotels/,نور
